game_date,opponent,home_away,mariners_runs,opponent_runs,win_loss,run_differential,win_binary
1-03-27,ATH,Home,4,2,W,2,1
1-03-28,ATH,Home,0,7,L,-7,0
1-03-29,ATH,Home,2,4,L,-2,0
1-03-30,ATH,Home,2,1,W,1,1
1-03-31,DET,Home,6,9,L,-3,0
1-04-01,DET,Home,1,4,L,-3,0
1-04-02,DET,Home,3,2,W,1,1
1-04-04,SFG,Away,9,10,L-wo,-1,0
1-04-05,SFG,Away,1,4,L,-3,0
1-04-06,SFG,Away,4,5,L-wo,-1,0
1-04-07,HOU,Home,4,3,W,1,1
1-04-08,HOU,Home,1,2,L,-1,0
1-04-09,HOU,Home,7,6,W-wo,1,1
1-04-11,TEX,Home,5,3,W,2,1
1-04-12,TEX,Home,9,2,W,7,1
1-04-13,TEX,Home,3,1,W,2,1
1-04-15,CIN,Away,4,8,L,-4,0
1-04-16,CIN,Away,5,3,W,2,1
1-04-17,CIN,Away,11,7,W,4,1
1-04-18,TOR,Away,1,3,L,-2,0
1-04-19,TOR,Away,8,4,W,4,1
1-04-20,TOR,Away,8,3,W,5,1
1-04-22,BOS,Away,3,8,L,-5,0
1-04-23,BOS,Away,8,5,W,3,1
1-04-24,BOS,Away,4,3,W,1,1
1-04-25,MIA,Home,4,8,L,-4,0
1-04-26,MIA,Home,14,0,W,14,1
1-04-27,MIA,Home,7,6,W,1,1
1-04-29,LAA,Home,5,3,W,2,1
1-04-30,LAA,Home,9,3,W,6,1
1-05-02,TEX,Away,13,1,W,12,1
1-05-03,TEX,Away,2,1,W,1,1
1-05-04,TEX,Away,1,8,L,-7,0
1-05-05,ATH,Away,6,7,L-wo,-1,0
1-05-06,ATH,Away,5,3,W,2,1
1-05-07,ATH,Away,6,5,W,1,1
1-05-09,TOR,Home,3,6,L,-3,0
1-05-10,TOR,Home,3,6,L,-3,0
1-05-11,TOR,Home,1,9,L,-8,0
1-05-12,NYY,Home,5,11,L,-6,0
1-05-13,NYY,Home,2,1,W-wo,1,1
1-05-14,NYY,Home,2,3,L,-1,0
1-05-16,SDP,Away,5,1,W,4,1
1-05-17,SDP,Away,4,1,W,3,1
1-05-18,SDP,Away,6,1,W,5,1
1-05-19,CHW,Away,5,1,W,4,1
1-05-20,CHW,Away,0,1,L,-1,0
1-05-21,CHW,Away,6,5,W,1,1
1-05-22,HOU,Away,2,9,L,-7,0
1-05-23,HOU,Away,5,3,W,2,1
1-05-24,HOU,Away,1,2,L,-1,0
1-05-25,HOU,Away,3,5,L-wo,-2,0
1-05-27,WSN,Home,9,1,W,8,1
1-05-28,WSN,Home,0,9,L,-9,0
1-05-29,WSN,Home,3,9,L,-6,0
1-05-30,MIN,Home,6,12,L,-6,0
1-05-31,MIN,Home,5,4,W-wo,1,1
1-06-01,MIN,Home,2,1,W-wo,1,1
1-06-03,BAL,Home,1,5,L,-4,0
1-06-04,BAL,Home,2,3,L,-1,0
1-06-05,BAL,Home,3,4,L,-1,0
1-06-06,LAA,Away,4,5,L,-1,0
1-06-07,LAA,Away,6,8,L,-2,0
1-06-08,LAA,Away,3,2,W,1,1
1-06-09,ARI,Away,4,8,L-wo,-4,0
1-06-10,ARI,Away,3,10,L,-7,0
1-06-11,ARI,Away,2,5,L,-3,0
1-06-13,CLE,Home,7,2,W,5,1
1-06-14,CLE,Home,4,3,W-wo,1,1
1-06-15,CLE,Home,6,0,W,6,1
1-06-16,BOS,Home,0,2,L,-2,0
1-06-17,BOS,Home,8,0,W,8,1
1-06-18,BOS,Home,1,3,L,-2,0
1-06-20,CHC,Away,9,4,W,5,1
1-06-21,CHC,Away,7,10,L,-3,0
1-06-22,CHC,Away,14,6,W,8,1
1-06-23,MIN,Away,11,2,W,9,1
1-06-24,MIN,Away,6,5,W,1,1
1-06-25,MIN,Away,0,2,L,-2,0
1-06-26,MIN,Away,1,10,L,-9,0
1-06-27,TEX,Away,7,6,W,1,1
1-06-28,TEX,Away,2,3,L-wo,-1,0
1-06-29,TEX,Away,6,4,W,2,1
1-06-30,KCR,Home,6,2,W,4,1
1-07-01,KCR,Home,3,6,L,-3,0
1-07-02,KCR,Home,3,2,W,1,1
1-07-03,KCR,Home,2,3,L,-1,0
1-07-04,PIT,Home,6,0,W,6,1
1-07-05,PIT,Home,1,0,W,1,1
1-07-06,PIT,Home,1,0,W,1,1
1-07-08,NYY,Away,3,10,L,-7,0
1-07-09,NYY,Away,6,9,L,-3,0
1-07-10,NYY,Away,5,6,L-wo,-1,0
1-07-11,DET,Away,12,3,W,9,1
1-07-12,DET,Away,15,7,W,8,1
1-07-13,DET,Away,8,4,W,4,1
1-07-18,HOU,Home,6,1,W,5,1
1-07-19,HOU,Home,7,6,W-wo,1,1
1-07-20,HOU,Home,3,11,L,-8,0
1-07-21,MIL,Home,0,6,L,-6,0
1-07-22,MIL,Home,1,0,W,1,1
1-07-23,MIL,Home,2,10,L,-8,0
1-07-24,LAA,Away,4,2,W,2,1
1-07-25,LAA,Away,2,3,L-wo,-1,0
1-07-26,LAA,Away,7,2,W,5,1
1-07-27,LAA,Away,1,4,L,-3,0
1-07-28,ATH,Away,3,1,W,2,1
1-07-29,ATH,Away,1,6,L,-5,0
1-07-30,ATH,Away,4,5,L,-1,0
1-07-31,TEX,Home,6,0,W,6,1
1-08-01,TEX,Home,4,3,W-wo,1,1
1-08-02,TEX,Home,4,6,L,-2,0
1-08-03,TEX,Home,5,4,W,1,1
1-08-05,CHW,Home,8,3,W,5,1
1-08-06,CHW,Home,8,6,W,2,1
1-08-07,CHW,Home,4,3,W-wo,1,1
1-08-08,TBR,Home,3,2,W,1,1
1-08-09,TBR,Home,7,4,W,3,1
1-08-10,TBR,Home,6,3,W,3,1
1-08-12,BAL,Away,1,0,W,1,1
1-08-13,BAL,Away,3,4,L-wo,-1,0
1-08-14,BAL,Away,3,5,L,-2,0
1-08-15,NYM,Away,11,9,W,2,1
1-08-16,NYM,Away,1,3,L,-2,0
1-08-17,NYM,Away,3,7,L,-4,0
1-08-18,PHI,Away,7,12,L,-5,0
1-08-19,PHI,Away,4,6,L,-2,0
1-08-20,PHI,Away,2,11,L,-9,0
1-08-22,ATH,Home,3,2,W,1,1
1-08-23,ATH,Home,1,2,L,-1,0
1-08-24,ATH,Home,11,4,W,7,1
1-08-25,SDP,Home,9,6,W,3,1
1-08-26,SDP,Home,6,7,L,-1,0
1-08-27,SDP,Home,4,3,W,1,1
1-08-29,CLE,Away,4,5,L-wo,-1,0
1-08-30,CLE,Away,3,4,L,-1,0
1-08-31,CLE,Away,4,2,W,2,1
1-09-01,TBR,Away,2,10,L,-8,0
1-09-02,TBR,Away,5,6,L,-1,0
1-09-03,TBR,Away,4,9,L,-5,0
1-09-05,ATL,Away,1,4,L,-3,0
1-09-06,ATL,Away,10,2,W,8,1
1-09-07,ATL,Away,18,2,W,16,1
1-09-08,STL,Home,4,2,W,2,1
1-09-09,STL,Home,5,3,W,2,1
1-09-10,STL,Home,4,2,W-wo,2,1
1-09-11,LAA,Home,7,6,W-wo,1,1
1-09-12,LAA,Home,2,1,W,1,1
1-09-13,LAA,Home,5,3,W,2,1
1-09-14,LAA,Home,11,2,W,9,1
1-09-16,KCR,Away,12,5,W,7,1
1-09-17,KCR,Away,5,7,L,-2,0
1-09-18,KCR,Away,2,0,W,2,1
1-09-19,HOU,Away,4,0,W,4,1
1-09-20,HOU,Away,6,4,W,2,1
1-09-21,HOU,Away,7,3,W,4,1
1-09-23,COL,Home,4,3,W,1,1
1-09-24,COL,Home,9,2,W,7,1
1-09-25,COL,Home,6,2,W,4,1
1-09-26,LAD,Home,2,3,L,-1,0
1-09-27,LAD,Home,3,5,L,-2,0
1-09-28,LAD,Home,1,6,L,-5,0
