Date,Opp,home_away,R,RA,W/L
"Thursday, Mar 27",ATH,Home,4,2,W
"Friday, Mar 28",ATH,Home,0,7,L
"Saturday, Mar 29",ATH,Home,2,4,L
"Sunday, Mar 30",ATH,Home,2,1,W
"Monday, Mar 31",DET,Home,6,9,L
"Tuesday, Apr 1",DET,Home,1,4,L
"Wednesday, Apr 2",DET,Home,3,2,W
"Friday, Apr 4",SFG,Away,9,10,L-wo
"Saturday, Apr 5",SFG,Away,1,4,L
"Sunday, Apr 6",SFG,Away,4,5,L-wo
"Monday, Apr 7",HOU,Home,4,3,W
"Tuesday, Apr 8",HOU,Home,1,2,L
"Wednesday, Apr 9",HOU,Home,7,6,W-wo
"Friday, Apr 11",TEX,Home,5,3,W
"Saturday, Apr 12",TEX,Home,9,2,W
"Sunday, Apr 13",TEX,Home,3,1,W
"Tuesday, Apr 15",CIN,Away,4,8,L
"Wednesday, Apr 16",CIN,Away,5,3,W
"Thursday, Apr 17",CIN,Away,11,7,W
"Friday, Apr 18",TOR,Away,1,3,L
"Saturday, Apr 19",TOR,Away,8,4,W
"Sunday, Apr 20",TOR,Away,8,3,W
"Tuesday, Apr 22",BOS,Away,3,8,L
"Wednesday, Apr 23",BOS,Away,8,5,W
"Thursday, Apr 24",BOS,Away,4,3,W
"Friday, Apr 25",MIA,Home,4,8,L
"Saturday, Apr 26",MIA,Home,14,0,W
"Sunday, Apr 27",MIA,Home,7,6,W
"Tuesday, Apr 29",LAA,Home,5,3,W
"Wednesday, Apr 30",LAA,Home,9,3,W
"Friday, May 2",TEX,Away,13,1,W
"Saturday, May 3",TEX,Away,2,1,W
"Sunday, May 4",TEX,Away,1,8,L
"Monday, May 5",ATH,Away,6,7,L-wo
"Tuesday, May 6",ATH,Away,5,3,W
"Wednesday, May 7",ATH,Away,6,5,W
"Friday, May 9",TOR,Home,3,6,L
"Saturday, May 10",TOR,Home,3,6,L
"Sunday, May 11",TOR,Home,1,9,L
"Monday, May 12",NYY,Home,5,11,L
"Tuesday, May 13",NYY,Home,2,1,W-wo
"Wednesday, May 14",NYY,Home,2,3,L
"Friday, May 16",SDP,Away,5,1,W
"Saturday, May 17",SDP,Away,4,1,W
"Sunday, May 18",SDP,Away,6,1,W
"Monday, May 19",CHW,Away,5,1,W
"Tuesday, May 20",CHW,Away,0,1,L
"Wednesday, May 21",CHW,Away,6,5,W
"Thursday, May 22",HOU,Away,2,9,L
"Friday, May 23",HOU,Away,5,3,W
"Saturday, May 24",HOU,Away,1,2,L
"Sunday, May 25",HOU,Away,3,5,L-wo
"Tuesday, May 27",WSN,Home,9,1,W
"Wednesday, May 28",WSN,Home,0,9,L
"Thursday, May 29",WSN,Home,3,9,L
"Friday, May 30",MIN,Home,6,12,L
"Saturday, May 31",MIN,Home,5,4,W-wo
"Sunday, Jun 1",MIN,Home,2,1,W-wo
"Tuesday, Jun 3",BAL,Home,1,5,L
"Wednesday, Jun 4",BAL,Home,2,3,L
"Thursday, Jun 5",BAL,Home,3,4,L
"Friday, Jun 6",LAA,Away,4,5,L
"Saturday, Jun 7",LAA,Away,6,8,L
"Sunday, Jun 8",LAA,Away,3,2,W
"Monday, Jun 9",ARI,Away,4,8,L-wo
"Tuesday, Jun 10",ARI,Away,3,10,L
"Wednesday, Jun 11",ARI,Away,2,5,L
"Friday, Jun 13",CLE,Home,7,2,W
"Saturday, Jun 14",CLE,Home,4,3,W-wo
"Sunday, Jun 15",CLE,Home,6,0,W
"Monday, Jun 16",BOS,Home,0,2,L
"Tuesday, Jun 17",BOS,Home,8,0,W
"Wednesday, Jun 18",BOS,Home,1,3,L
"Friday, Jun 20",CHC,Away,9,4,W
"Saturday, Jun 21",CHC,Away,7,10,L
"Sunday, Jun 22",CHC,Away,14,6,W
"Monday, Jun 23",MIN,Away,11,2,W
"Tuesday, Jun 24",MIN,Away,6,5,W
"Wednesday, Jun 25",MIN,Away,0,2,L
"Thursday, Jun 26",MIN,Away,1,10,L
"Friday, Jun 27",TEX,Away,7,6,W
"Saturday, Jun 28",TEX,Away,2,3,L-wo
"Sunday, Jun 29",TEX,Away,6,4,W
"Monday, Jun 30",KCR,Home,6,2,W
"Tuesday, Jul 1",KCR,Home,3,6,L
"Wednesday, Jul 2",KCR,Home,3,2,W
"Thursday, Jul 3",KCR,Home,2,3,L
"Friday, Jul 4",PIT,Home,6,0,W
"Saturday, Jul 5",PIT,Home,1,0,W
"Sunday, Jul 6",PIT,Home,1,0,W
"Tuesday, Jul 8",NYY,Away,3,10,L
"Wednesday, Jul 9",NYY,Away,6,9,L
"Thursday, Jul 10",NYY,Away,5,6,L-wo
"Friday, Jul 11",DET,Away,12,3,W
"Saturday, Jul 12",DET,Away,15,7,W
"Sunday, Jul 13",DET,Away,8,4,W
"Friday, Jul 18",HOU,Home,6,1,W
"Saturday, Jul 19",HOU,Home,7,6,W-wo
"Sunday, Jul 20",HOU,Home,3,11,L
"Monday, Jul 21",MIL,Home,0,6,L
"Tuesday, Jul 22",MIL,Home,1,0,W
"Wednesday, Jul 23",MIL,Home,2,10,L
"Thursday, Jul 24",LAA,Away,4,2,W
"Friday, Jul 25",LAA,Away,2,3,L-wo
"Saturday, Jul 26",LAA,Away,7,2,W
"Sunday, Jul 27",LAA,Away,1,4,L
"Monday, Jul 28",ATH,Away,3,1,W
"Tuesday, Jul 29",ATH,Away,1,6,L
"Wednesday, Jul 30",ATH,Away,4,5,L
"Thursday, Jul 31",TEX,Home,6,0,W
"Friday, Aug 1",TEX,Home,4,3,W-wo
"Saturday, Aug 2",TEX,Home,4,6,L
"Sunday, Aug 3",TEX,Home,5,4,W
"Tuesday, Aug 5",CHW,Home,8,3,W
"Wednesday, Aug 6",CHW,Home,8,6,W
"Thursday, Aug 7",CHW,Home,4,3,W-wo
"Friday, Aug 8",TBR,Home,3,2,W
"Saturday, Aug 9",TBR,Home,7,4,W
"Sunday, Aug 10",TBR,Home,6,3,W
"Tuesday, Aug 12",BAL,Away,1,0,W
"Wednesday, Aug 13",BAL,Away,3,4,L-wo
"Thursday, Aug 14",BAL,Away,3,5,L
"Friday, Aug 15",NYM,Away,11,9,W
"Saturday, Aug 16",NYM,Away,1,3,L
"Sunday, Aug 17",NYM,Away,3,7,L
"Monday, Aug 18",PHI,Away,7,12,L
"Tuesday, Aug 19",PHI,Away,4,6,L
