"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
3771,668227,"Arozarena, Randy",3780,99.8,0.251,0.181,0.316,0.432,0.343,0.329,0.233,201,800,91.1,11.3,2288,89.8,89.89,496,1680,2091,0.10000000000000853,6.42,108,151,121,147,300,324,294,"-18.817","18.817","69.6","7.3",930,566,122,45,2,32,242,26,87,9.4,2.24732,0.63115,0.36992,0.14415,"92.6",158,48.58657243816255,10.247349823321555,6.236559139784946,5.74,-0.87,0.26,2.28,0.347,58,"0.49899231",0.334,0.408,"-0.49899231",0.018,0.012999999999999956,0.024,0.014,29.5,"38.0",8.186298809528804,2.636866742430433,25.468235332688703,0.5914445133292002,35.064292145304975,29.9070564737787
3630,663728,"Raleigh, Cal",3692,98.3,0.229,0.303,0.236,0.531,0.363,0.354,0.22,173,757,90.5,24.7,2238,89.1,89.24,591,1888,1742,0.10000000000000853,6.4,113,147,127,150,299,326,298,"-34.542","34.542","72.9","7.8",886,517,78,28,0,67,245,27.7,115,13,2.35652,0.57287,0.3426,-0.3426,"93.1",183,45.84139264990329,17.988394584139265,10.496613995485328,5.77,-0.79,-0.07,2.38,0.335,93,"0.951570248",0.329,0.513,"-0.951570248",0.009,0.006000000000000005,0.018,0.009,31.3,"38.2",17.053912426218243,-6.641797343879975,34.39639067857714,0.4328439369222403,34.84020255648997,34.91500073082843
3491,641487,"Crawford, J.P.",3497,99.8,0.251,0.114,0.294,0.365,0.322,0.335,0.263,181,721,86.6,11.2,2272,89.8,89.9,291,1505,1986,0.10000000000000853,6.37,115,146,108,151,286,318,298,"-4.511","4.511","69.2","7.0",838,578,135,28,0,18,150,17.9,103,12.3,2.171,0.70398,0.40371,-0.18452,"91.1",155,35.19163763066202,5.574912891986063,3.8186157517899764,5.76,-0.71,-0.16,2.42,0.35,32,"0.129217989",0.361,0.391,"-0.129217989",-0.012,-0.01100000000000001,-0.026,-0.013,19.3,"37.4",3.429797104062915,3.7732615544798285,35.7322816594955,0.358568479008947,36.75890991371234,35.45664877871806
3380,677594,"Rodríguez, Julio",3410,99.1,0.265,0.197,0.302,0.462,0.338,0.341,0.266,228,862,91.4,9.3,2297,89.5,89.64,516,1849,1531,0.09999999999999432,6.42,107,151,123,147,304,325,295,"-23.429","23.429","74.9","7.6",940,662,142,42,4,40,202,21.5,62,6.6,2.30826,0.58868,0.30912,0.08867,"92.9",157,46.89863842662632,9.228441754916792,6.489361702127659,5.76,-0.86,0.13,2.28,0.323,61,"0.69316568",0.325,0.469,"-0.69316568",-0.001,-0.0020000000000000018,-0.007,-0.003,27.9,"37.9",6.283157139109961,-0.7152511054409098,31.50179251339927,0.4420935412026726,39.222407634390834,31.50606503086616
2023,593871,"Polanco, Jorge",2255,89.7,0.265,0.229,0.269,0.495,0.35,0.343,0.266,125,471,89.9,16.5,2240,88.6,88.76,218,937,1086,0.20000000000000284,6.4,114,147,113,150,296,323,295,"-18.88","18.88","68.7","7.1",524,397,69,30,0,26,82,15.6,42,8,2.47941,0.47624,0.37584,-0.3742,"93.0",157,45.843828715365234,10.327455919395465,7.8244274809160315,5.72,-1.14,-0.09,2.22,0.326,41,"0.933267425",0.329,0.464,"-0.933267425",-0.001,-0.0030000000000000027,0.031,0.007,23.3,"36.5",8.365835844368513,-9.372861850603941,30.56935002659571,0.540268456375839,37.834529264517,31.261154023567666
1858,702284,"Young, Cole",1864,99.7,0.224,0.101,0.271,0.325,0.289,0.311,0.239,91,406,87.3,17.2,2273,90,90.06,206,846,1012,0.09999999999999432,6.39,116,145,108,151,288,318,298,"10.042","-10.042","69.2","6.8",464,319,66,16,2,7,92,19.8,46,9.9,2.17578,0.68671,0.4457,-0.26635,"91.3",164,34.79623824451411,5.956112852664576,4.094827586206897,5.74,-0.83,-0.18,2.33,0.312,19,"-0.540473628",0.325,0.375,"0.540473628",-0.015,-0.013000000000000012,-0.05,-0.022,24.3,"38.1",6.522633152338853,0.12021561917779976,28.113245099522334,0.5158150851581509,32.45352486917224,26.590216164229343
1500,641598,"Garver, Mitch",1504,99.7,0.203,0.13,0.26,0.332,0.287,0.298,0.2,64,316,91.5,18.8,2262,88.4,88.44,196,616,884,0,6.38,108,151,122,146,298,323,295,"3.817","-3.817","70.3","7.3",367,215,46,6,1,11,104,28.3,45,12.3,2.42581,0.56085,0.3135,-0.08247,"92.7",166,48.837209302325576,7.906976744186046,4.632152588555858,5.77,0.29,0.16,2.26,0.305,17,"-0.254466667",0.306,0.36,"0.254466667",0.003,-0.0010000000000000009,-0.028,-0.011,31.8,"37.7",15.230586946232513,-6.354145705988788,28.778704350096067,0.6404682274247492,36.50810314840041,33.526299933394604
1497,686527,"Canzone, Dominic",1497,100,0.281,0.183,0.328,0.464,0.351,0.366,0.28,98,349,92.3,11.8,2234,88.8,88.89,209,740,757,0.10000000000000853,6.41,115,145,119,151,293,323,299,"-10.639","10.639","71.7","7.3",391,268,64,19,0,15,86,22,32,8.2,2.45076,0.50065,0.38314,-0.32185,"93.0",153,48.31460674157304,14.232209737827715,9.718670076726342,5.71,-1.11,-0.18,2.19,0.346,38,"0.710688043",0.346,0.508,"-0.710688043",0.001,0,-0.044,-0.015,28.2,"37.4",11.5799772945814,-1.1060006291645785,32.01422041022882,0.5298196948682385,38.666753677031224,36.99038046438167
1436,647304,"Naylor, Josh",2732,52.6,0.273,0.148,0.296,0.421,0.328,0.325,0.266,105,385,88.5,13.2,2240,88.9,88.93,178,782,654,0,6.36,116,146,120,151,294,323,300,"-1.043","1.043","68.3","7.6",421,321,76,15,0,14,66,15.7,29,6.9,2.46014,0.47726,0.37353,-0.23388,"92.1",144,43.30218068535825,6.5420560747663545,4.98812351543943,5.78,-0.77,-0.15,2.23,0.327,21,"0.072632312",0.322,0.424,"-0.072632312",0.007,0.0050000000000000044,-0.003,0.003,22.8,"37.8",8.659568873632221,-8.260373064436175,30.356288623218845,0.45148247978436656,35.84949620860019,25.8466563013637
1374,670042,"Raley, Luke",1374,100,0.232,0.184,0.314,0.416,0.331,0.343,0.237,72,310,88.5,9.7,2244,88.9,88.97,315,743,631,0.09999999999999432,6.38,116,145,111,151,296,324,297,"-0.272","0.272","72.5","7.1",359,203,44,13,1,14,112,31.2,27,7.5,2.43419,0.51184,0.37811,-0.37326,"92.7",154,46.79802955665024,14.77832512315271,8.356545961002785,5.71,-1.51,-0.09,2.26,0.327,30,"0.019796215",0.332,0.448,"-0.019796215",-0.005,-0.0050000000000000044,-0.032,-0.012,42.4,"37.4",14.400036721506323,-2.200373517136794,31.808196618105367,0.5207182320441989,37.74381240596697,31.04890410230111
1216,810938,"Williamson, Ben",1741,69.8,0.253,0.058,0.325,0.31,0.269,0.269,0.241,70,277,87.7,3.2,2297,89,89.01,128,585,631,0,6.39,108,150,121,148,301,320,286,"12.418","-12.418","67.7","6.8",295,215,56,13,0,1,64,21.7,15,5.1,2.28624,0.66271,0.29796,0.04931,"91.6",133,40.46511627906977,3.255813953488372,2.3728813559322033,5.8,-0.66,0.19,2.33,0.294,7,"-1.021217105",0.283,0.322,"1.021217105",0.012,0.01100000000000001,-0.012,0,21.9,"38.5",1.4821697774187104,7.9019230771776865,32.86631582078353,0.30052724077328646,38.27740377280401,24.304718078027847
1054,660844,"Rivas, Leo",1055,99.9,0.185,0.063,0.258,0.249,0.275,0.263,0.165,35,189,85.1,15.7,2246,89.4,89.47,87,372,682,0.09999999999999432,6.42,110,146,106,148,288,316,292,"9.922","-9.922","62.4","6.8",231,132,28,4,1,2,60,26,35,15.2,2.21917,0.69905,0.41058,-0.41058,"89.7",151,16.666666666666664,2.272727272727273,1.2987012987012987,5.76,-0.54,-0.06,2.33,0.323,3,"-0.941366224",0.307,0.239,"0.941366224",0.02,0.016000000000000014,0.01,0.012,23.4,"37.5",12.83025048155292,-3.872353320206452,37.365344434943594,0.5,32.42083841113872,30.75482643412995
899,553993,"Suárez, Eugenio",3036,29.6,0.189,0.239,0.227,0.428,0.291,0.268,0.179,38,201,88.2,19,2313,89.4,89.54,161,449,450,0.09999999999999432,6.38,108,151,121,146,300,323,296,"3.167","-3.167","68.9","7.7",220,123,16,9,0,13,79,35.9,17,7.7,2.35297,0.56927,0.33895,0.11645,"91.8",163,39.83739837398374,13.008130081300814,7.2727272727272725,5.74,-0.52,0.2,2.25,0.255,16,"-0.352280311",0.245,0.377,"0.352280311",0.01,0.010000000000000009,0.051,0.023,35.9,"37.3",17.03783403600974,-4.200239106103582,39.35871082039086,0.45454545454545453,32.57404244686763,34.84296256404328
888,664238,"Moore, Dylan",1093,81.2,0.193,0.167,0.257,0.359,0.272,0.262,0.188,37,192,84.2,20.9,2281,89.6,89.58,151,435,453,0,6.41,107,151,117,146,295,321,292,"7.781","-7.781","69.6","7.1",213,118,23,5,0,9,76,35.7,19,8.9,2.24758,0.64602,0.35493,-0.0543,"90.9",169,33.89830508474576,8.47457627118644,4.694835680751173,5.77,0.16,0.1,2.33,0.263,10,"-0.876238739",0.261,0.321,"0.876238739",0.005,0.0020000000000000018,0.038,0.01,34.7,"37.5",7.347851296760181,-2.3616165426135995,31.029458583202285,0.5292740046838408,37.98612436733279,26.908795723787108
727,642133,"Tellez, Rowdy",1288,56.4,0.208,0.225,0.217,0.434,0.29,0.337,0.245,36,173,91.4,17.2,2186,88.5,88.61,91,322,405,0.09999999999999432,6.42,117,146,129,151,293,324,301,"1.509","-1.509","72.9","7.9",185,126,19,6,0,11,49,26.5,8,4.3,2.46598,0.52356,0.44967,-0.46111,"93.6",175,48.41269841269841,15.873015873015872,10.81081081081081,5.74,-1.68,-0.22,2.3,0.249,20,"-0.207565337",0.291,0.489,"0.207565337",-0.037,-0.04199999999999998,-0.055,-0.047,28.3,"36.5",6.928914272297567,-6.767145914130291,29.77365590302246,0.5316455696202531,36.30547052308476,34.85434125545784
695,456781,"Solano, Donovan",704,98.7,0.252,0.092,0.306,0.344,0.281,0.261,0.224,41,163,87.4,12.7,2261,88.7,88.83,92,359,336,0.09999999999999432,6.42,107,150,121,146,299,320,287,"5.591","-5.591","64.3","6.8",176,127,33,4,1,3,38,21.6,8,4.5,2.31796,0.63475,0.34964,-0.15304,"91.1",158,37.00787401574803,3.937007874015748,2.840909090909091,5.74,0.38,0.17,2.32,0.295,5,"-0.804460432",0.27,0.322,"0.804460432",0.028,0.024999999999999967,0.022,0.02,25.6,"37.7",8.080698129470777,-0.3678624866952235,33.762277134291246,0.3761194029850746,36.37967028370413,27.938114704135923
669,670156,"Mastrobuoni, Miles",669,100,0.25,0.046,0.301,0.296,0.282,0.322,0.28,38,152,86.2,3.7,2216,89.5,89.58,43,267,402,0.09999999999999432,6.39,116,146,106,151,284,316,299,"5.087","-5.087","65.5","6.5",175,129,33,4,0,1,29,16.6,17,9.7,2.30581,0.59814,0.46757,-0.44769,"91.4",142,36.71875,2.34375,1.7142857142857144,5.64,-1.54,-0.13,2.2,0.324,3,"-0.76038864",0.351,0.373,"0.76038864",-0.03,-0.02699999999999997,-0.077,-0.04,16.1,"34.5",6.618216616882555,-1.51704619096685,32.51785252908881,0.4146341463414634,36.971085063804296,32.53129525551824
